epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5288,2.03904,3.90373,2.25262,0.24583,0.41667,0.27599,0.1104,2.02871,11.946,2.42511,8.335e-05,8.335e-05,8.335e-05
2,48.5737,1.75965,2.50101,1.91803,0.36358,0.75,0.55712,0.17097,1.80678,6.88876,2.19163,0.000176109,0.000176109,0.000176109
3,71.5063,1.55835,2.2285,1.73542,0.63005,0.75,0.68364,0.30019,1.84555,4.92453,1.92106,0.000260946,0.000260946,0.000260946
4,94.5443,1.40596,1.81372,1.59367,0.6851,0.5,0.61957,0.32065,1.68362,6.13317,2.04854,0.000337861,0.000337861,0.000337861
5,117.662,1.48008,1.90159,1.66488,0.52974,0.51589,0.47681,0.22326,2.12623,8.71188,2.73811,0.000406855,0.000406855,0.000406855
6,139.752,1.41394,1.7263,1.55978,0.78515,0.33333,0.30841,0.15267,1.81344,5.44623,1.95889,0.000467927,0.000467927,0.000467927
7,162.174,1.34814,1.53582,1.49133,0.76674,0.5,0.35377,0.16214,1.92897,4.95297,2.11072,0.000521078,0.000521078,0.000521078
8,184.755,1.34066,1.52991,1.47356,0.76041,0.66667,0.69543,0.36414,1.56928,2.01431,1.76341,0.000566307,0.000566307,0.000566307
9,206.928,1.31852,1.43772,1.42452,0.72525,0.66667,0.66869,0.31549,1.84023,2.29834,1.99945,0.000603614,0.000603614,0.000603614
10,228.578,1.31339,1.41068,1.40862,0.94199,0.75,0.82833,0.40575,1.55362,1.82747,1.66798,0.000633,0.000633,0.000633
11,249.894,1.25577,1.34956,1.38513,0.56582,0.75,0.87,0.39326,1.62921,1.57482,1.79091,0.000654464,0.000654464,0.000654464
12,272.351,1.24315,1.33056,1.41996,0.98734,0.5,0.54721,0.2919,1.83748,1.62252,2.03157,0.000668007,0.000668007,0.000668007
13,294.566,1.2271,1.23846,1.32984,0.49207,0.5,0.53892,0.28225,1.87572,1.31369,2.19227,0.000673628,0.000673628,0.000673628
14,318.43,1.31951,1.2607,1.39182,0.97499,0.75,0.845,0.4129,1.47145,1.36801,1.69612,0.000671328,0.000671328,0.000671328
15,340.542,1.18019,1.12691,1.30042,0.97499,0.75,0.845,0.4129,1.47145,1.36801,1.69612,0.000661106,0.000661106,0.000661106
16,362.356,1.23224,1.10027,1.41003,0.90549,0.75,0.8075,0.5106,1.41574,1.18245,1.471,0.000642962,0.000642962,0.000642962
17,384.237,1.30791,1.12936,1.52818,0.91066,0.75,0.8075,0.45548,1.48383,1.21733,1.67573,0.000610789,0.000610789,0.000610789
18,406.18,1.22125,1.1355,1.39244,0.9301,0.75,0.78071,0.33103,1.93571,1.34454,2.06075,0.000544776,0.000544776,0.000544776
19,427.586,1.25231,1.08138,1.3963,0.9301,0.75,0.78071,0.33103,1.93571,1.34454,2.06075,0.000478762,0.000478762,0.000478762
20,449.357,1.15046,0.95916,1.35238,0.92005,0.75,0.765,0.41103,1.60918,1.3518,1.82247,0.000412749,0.000412749,0.000412749
21,471.102,1.21246,0.96925,1.35442,0.95696,0.75,0.91167,0.53288,1.35786,1.12658,1.56141,0.000346736,0.000346736,0.000346736
22,492.944,1.00049,0.84595,1.19669,0.9335,0.95308,0.995,0.593,1.28974,0.96556,1.50334,0.000280723,0.000280723,0.000280723
23,514.53,1.0916,0.77622,1.33621,0.9335,0.95308,0.995,0.593,1.28974,0.96556,1.50334,0.00021471,0.00021471,0.00021471
24,536.044,1.05528,0.78071,1.3012,0.9336,0.94422,0.995,0.56693,1.40686,1.01003,1.5476,0.000148696,0.000148696,0.000148696
25,558.112,1.07936,0.82588,1.23395,0.93474,0.94309,0.995,0.49207,1.53939,1.03491,1.66108,8.26832e-05,8.26832e-05,8.26832e-05
