epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73961,2.59554,11.158,2.76318,0.02128,0.05556,0.01178,0.00118,2.42832,9.31771,3.42954,9.44e-06,9.44e-06,9.44e-06
2,9.46381,2.42578,8.9887,2.59761,0.05357,0.16667,0.03428,0.01329,2.34618,8.06091,3.1373,1.92656e-05,1.92656e-05,1.92656e-05
3,13.1574,2.50886,8.97848,2.76944,0.10804,0.22222,0.11118,0.05422,2.33389,7.26488,3.05495,2.82501e-05,2.82501e-05,2.82501e-05
4,16.8504,2.37549,6.75039,2.47329,0.31907,0.16667,0.15417,0.06968,2.29005,6.54038,3.05266,3.63936e-05,3.63936e-05,3.63936e-05
5,20.475,2.29568,6.37887,2.3201,0.16062,0.27778,0.14898,0.08369,2.16481,6.1144,2.73997,4.36959e-05,4.36959e-05,4.36959e-05
6,24.1057,2.18506,5.93498,2.23159,0.17837,0.44444,0.22647,0.11385,1.92637,5.09516,2.40089,5.01571e-05,5.01571e-05,5.01571e-05
7,31.7585,1.99791,4.95976,2.0689,0.24439,0.38889,0.25718,0.12829,1.7987,4.00899,2.12337,5.57772e-05,5.57772e-05,5.57772e-05
8,40.8853,1.96762,5.06414,2.05004,0.27251,0.47905,0.29875,0.1387,1.90505,2.9455,2.11164,6.05562e-05,6.05562e-05,6.05562e-05
9,48.6208,1.91647,4.48929,2.03342,0.40419,0.55556,0.45032,0.16974,1.91268,2.60878,2.0862,6.44941e-05,6.44941e-05,6.44941e-05
10,52.2417,1.82652,4.2254,1.87873,0.3804,0.77778,0.50809,0.18616,1.89442,2.23672,2.01615,6.75909e-05,6.75909e-05,6.75909e-05
11,55.6954,1.72836,4.252,1.8363,0.41357,0.90139,0.60856,0.23683,1.8685,1.79962,1.96164,6.98466e-05,6.98466e-05,6.98466e-05
12,59.0393,1.58181,3.63368,1.77106,0.52526,0.83333,0.62134,0.26648,1.73873,1.64097,1.88786,6.65992e-05,6.65992e-05,6.65992e-05
13,67.1298,1.48307,3.67659,1.71357,0.56404,0.83333,0.65319,0.30086,1.6231,1.53499,1.8244,6.19264e-05,6.19264e-05,6.19264e-05
14,75.6274,1.50304,3.48896,1.72149,0.61429,0.88889,0.661,0.32518,1.54709,1.52506,1.78663,5.72536e-05,5.72536e-05,5.72536e-05
15,83.9542,1.55861,3.168,1.73489,0.50353,0.73282,0.60876,0.3213,1.52726,1.47827,1.74996,5.25808e-05,5.25808e-05,5.25808e-05
16,92.0156,1.38962,4.29781,1.66866,0.55883,0.72222,0.59118,0.30514,1.49879,1.48742,1.71526,4.7908e-05,4.7908e-05,4.7908e-05
17,95.2569,1.3678,4.02037,1.66696,0.47948,0.72222,0.57648,0.30501,1.5054,1.57626,1.70542,4.32352e-05,4.32352e-05,4.32352e-05
18,98.499,1.2934,3.89503,1.62311,0.4649,0.72406,0.60108,0.32604,1.5148,1.65311,1.70723,3.85624e-05,3.85624e-05,3.85624e-05
19,101.933,1.2361,3.74603,1.60965,0.49628,0.82136,0.63854,0.3261,1.59512,1.55707,1.75471,3.38896e-05,3.38896e-05,3.38896e-05
20,110.517,1.32235,3.96747,1.61248,0.56822,0.80475,0.66822,0.32623,1.6087,1.48534,1.77535,2.92168e-05,2.92168e-05,2.92168e-05
21,118.877,1.16766,3.51648,1.51949,0.56781,0.77778,0.69841,0.3397,1.63121,1.45264,1.79242,2.4544e-05,2.4544e-05,2.4544e-05
22,127.436,1.27388,3.46087,1.60725,0.59388,0.83333,0.7049,0.34365,1.63159,1.45742,1.79229,1.98712e-05,1.98712e-05,1.98712e-05
23,130.769,1.23428,3.31866,1.54604,0.58968,0.83333,0.71583,0.34846,1.6406,1.45062,1.7961,1.51984e-05,1.51984e-05,1.51984e-05
24,134.178,1.29775,3.39069,1.6149,0.59066,0.83333,0.71235,0.34648,1.6281,1.44271,1.78917,1.05256e-05,1.05256e-05,1.05256e-05
25,137.463,1.27087,3.4045,1.53867,0.59027,0.83333,0.71838,0.34789,1.61996,1.43603,1.78306,5.8528e-06,5.8528e-06,5.8528e-06
1,5.39372,2.71562,4.19187,2.71654,0.05813,0.13889,0.05039,0.01629,2.52358,6.89048,2.63801,0.00013336,0.00013336,0.00013336
2,8.8773,2.0779,2.64466,2.11138,0.29109,0.48309,0.25923,0.08399,2.38996,4.96258,2.33615,0.000272168,0.000272168,0.000272168
3,12.1982,1.80664,2.40447,1.97296,0.35433,0.50845,0.39912,0.15945,1.85464,4.66277,2.19922,0.000399093,0.000399093,0.000399093
4,15.6812,1.67411,2.06984,1.84146,0.44416,0.59007,0.47619,0.20796,1.96415,2.47658,2.0066,0.000514136,0.000514136,0.000514136
5,18.9898,1.61294,2.02787,1.72756,0.73983,0.60342,0.57289,0.23853,1.92034,3.0037,1.92895,0.000617297,0.000617297,0.000617297
6,22.3062,1.59184,1.88293,1.62002,0.51926,0.62475,0.56331,0.21293,1.90605,2.03431,1.86003,0.000708575,0.000708575,0.000708575
7,27.8266,1.66235,1.7147,1.65248,0.2423,0.53623,0.28612,0.10909,2.14401,3.5991,2.33824,0.000787971,0.000787971,0.000787971
8,33.1039,1.63071,1.73261,1.73443,0.43763,0.55456,0.43813,0.14031,2.46509,2.24277,2.6018,0.000855484,0.000855484,0.000855484
9,38.5147,1.6028,1.5991,1.65152,0.43703,0.73068,0.59068,0.22783,2.21767,2.334,2.36189,0.000911116,0.000911116,0.000911116
10,44.4386,1.71528,1.78972,1.73747,0.58158,0.71135,0.65225,0.27162,1.89271,2.2183,2.01238,0.000954864,0.000954864,0.000954864
11,48.2024,1.62803,1.5498,1.68268,0.42204,0.47343,0.35367,0.13695,2.3445,2.26699,2.43165,0.000986731,0.000986731,0.000986731
12,51.3488,1.7087,1.54117,1.71821,0.48313,0.59383,0.53639,0.18628,2.1331,2.29526,2.11167,0.000940855,0.000940855,0.000940855
13,54.4965,1.67154,1.45266,1.72022,0.46138,0.61258,0.59816,0.29207,1.77987,2.59098,1.86541,0.000874842,0.000874842,0.000874842
14,57.8279,1.78146,1.55324,1.81533,0.50693,0.60386,0.63403,0.29765,1.82448,2.29252,1.9251,0.000808828,0.000808828,0.000808828
